"","","NEW BEST PRICE LIST","","","","",
"","Unique Model","","","","","",
"No.","","Product's Name","Photo","Specification","","",
"","Code","","","","","",
"","","","","LPG2800-3700Pa:2.96Kg/H","","",
"","","GasOven","","","","",
"","","","","NG2000-2500Pa:3.98m3/H","","",
"","","","","Power","","",
"","","","","Dimension:1200*900*920mm","","",
"","","Gas 6-Burner","","Oven","","",
"18","HGR-996ZA","Range With Electric","","Dimension:550*680*270mm","5","$704.2",
"","","","","LPG2800-3700Pa:2.96Kg/H","","",
"","","Oven","","","","",
"","","","","NG2000-2500Pa:3.98m3/H","","",
"","","","","Power","","",
"","","","","Dimension:1200*900*920mm","","",
"","","Gas Range 4-","","Oven","","",
"19","HGR-998","Burner Stove &","","Dimension:550*680*270mm","5","$753.5",
"","","Griddle & Oven","","Power","","",
"","","","","Supply:7.5x4+5.8+5.8KW","","",
